,AppID,Name,Supported languages,Release date,Windows,Mac,Linux,Categories,Tags,Genres,metadata_win,metadata_linux,metadata_mac,full_metadata
32884,1724020,Space Tower Defense,English,"Sep 9, 2021",True,False,False,Single-player,"Adventure,Casual,Simulation,Strategy,Action,Comedy,Difficult,Family Friendly,Funny,Hero Shooter,Space,Survival,Tactical,Third-Person Shooter,Tower Defense,Turn-Based,Turn-Based Strategy,Turn-Based Tactics,Zombies,Character Customization","Action,Adventure,Casual,Indie,Simulation,Strategy", Windows , , ,Space Tower Defense English Single-player Adventure Casual Simulation Strategy Action Comedy Difficult Family Friendly Funny Hero Shooter Space Survival Tactical Third-Person Shooter Tower Defense Turn-Based Turn-Based Strategy Turn-Based Tactics Zombies Character Customization Action Adventure Casual Indie Simulation Strategy  Windows     
32887,1499800,Geometric Sniper - Blood in Paris,English Portuguese - Brazil,"Sep 9, 2021",True,False,False,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards","FPS,Sniper,Hidden Object,Hand-drawn,Shooter,Singleplayer,Stealth,2D,Minimalist,Isometric,Action,Casual,Military,Crime,Violent,Indie,Blood,Early Access","Action,Casual,Indie", Windows , , ,Geometric Sniper - Blood in Paris English Portuguese - Brazil Single-player Steam Achievements Full controller support Steam Leaderboards FPS Sniper Hidden Object Hand-drawn Shooter Singleplayer Stealth 2D Minimalist Isometric Action Casual Military Crime Violent Indie Blood Early Access Action Casual Indie  Windows     
27076,335210,Rift's Cave,English,"Sep 9, 2021",True,True,True,"Single-player,Steam Trading Cards,VR Support,Partial Controller Support","VR,Adventure,Indie,Exploration,Fantasy,Action,RPG,Walking Simulator,Action-Adventure,3D Vision,3D,First-Person,Atmospheric,Dragons,Magic,Memes,Stealth,Choices Matter,Open World,PvP","Adventure,Indie", Windows , Linux , Mac ,Rift s Cave English Single-player Steam Trading Cards VR Support Partial Controller Support VR Adventure Indie Exploration Fantasy Action RPG Walking Simulator Action-Adventure 3D Vision 3D First-Person Atmospheric Dragons Magic Memes Stealth Choices Matter Open World PvP Adventure Indie  Windows   Linux   Mac 
16420,1390350,Webbed,English French Italian German Spanish - Spain Japanese Portuguese - Brazil Russian Simplified Chinese,"Sep 9, 2021",True,False,False,"Single-player,Steam Achievements,Full controller support,Steam Cloud","2D Platformer,Cute,Physics,Pixel Graphics,Puzzle-Platformer,Exploration,2D,Platformer,Relaxing,Family Friendly,Action,Indie,Puzzle,Cartoony,Colorful,Nature,Collectathon,Fantasy,Atmospheric,Retro","Action,Adventure,Indie", Windows , , ,Webbed English French Italian German Spanish - Spain Japanese Portuguese - Brazil Russian Simplified Chinese Single-player Steam Achievements Full controller support Steam Cloud 2D Platformer Cute Physics Pixel Graphics Puzzle-Platformer Exploration 2D Platformer Relaxing Family Friendly Action Indie Puzzle Cartoony Colorful Nature Collectathon Fantasy Atmospheric Retro Action Adventure Indie  Windows     
33313,1265720,RICO: London,English French German Spanish - Spain Dutch Japanese Korean Portuguese - Brazil Simplified Chinese,"Sep 9, 2021",True,False,False,"Single-player,Multi-player,Co-op,Online Co-op,Full controller support","FPS,Action,Shooter,Comic Book,First-Person,Controller,Co-op,Combat,Multiplayer,Violent,Online Co-Op,Singleplayer",Action, Windows , , ,RICO: London English French German Spanish - Spain Dutch Japanese Korean Portuguese - Brazil Simplified Chinese Single-player Multi-player Co-op Online Co-op Full controller support FPS Action Shooter Comic Book First-Person Controller Co-op Combat Multiplayer Violent Online Co-Op Singleplayer Action  Windows     
15888,1098470,The Gardener and the Wild Vines,English,"Sep 9, 2021",True,True,False,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats","2.5D,LGBTQ+,Story Rich,Singleplayer,Platformer,Pixel Graphics,Emotional,Relaxing,Romance,Puzzle-Platformer,Adventure,Comedy,2D Platformer,Precision Platformer,Visual Novel,Cute,Drama,3D Platformer,Colorful,Indie","Adventure,Indie", Windows , , Mac ,The Gardener and the Wild Vines English Single-player Steam Achievements Full controller support Steam Cloud Stats 2.5D LGBTQ+ Story Rich Singleplayer Platformer Pixel Graphics Emotional Relaxing Romance Puzzle-Platformer Adventure Comedy 2D Platformer Precision Platformer Visual Novel Cute Drama 3D Platformer Colorful Indie Adventure Indie  Windows     Mac 
6557,924070,Arboria,English Simplified Chinese,"Sep 9, 2021",True,False,False,"Single-player,Steam Achievements,Full controller support","Rogue-lite,Dungeon Crawler,Third Person,Rogue-like,Dark Fantasy,Early Access,Action RPG,Action Roguelike,Action,RPG,Indie,Violent,Fantasy,Atmospheric,Mystery,Procedural Generation,Difficult,Replay Value,Mythology,Singleplayer","Action,Adventure,Indie,RPG", Windows , , ,Arboria English Simplified Chinese Single-player Steam Achievements Full controller support Rogue-lite Dungeon Crawler Third Person Rogue-like Dark Fantasy Early Access Action RPG Action Roguelike Action RPG Indie Violent Fantasy Atmospheric Mystery Procedural Generation Difficult Replay Value Mythology Singleplayer Action Adventure Indie RPG  Windows     
3131,1290780,Residual,English French Italian German Spanish - Spain Danish Japanese Dutch Polish Portuguese Russian,"Sep 9, 2021",True,False,True,"Single-player,Steam Achievements,Full controller support","Exploration,Open World Survival Craft,Crafting,2D,Platformer,Pixel Graphics,Singleplayer,Sci-fi,Futuristic,Rogue-lite,Action,Survival,Adventure,Indie,Replay Value,2D Platformer,Puzzle-Platformer,Space,Resource Management,Space Sim","Action,Adventure,Indie", Windows , Linux , ,Residual English French Italian German Spanish - Spain Danish Japanese Dutch Polish Portuguese Russian Single-player Steam Achievements Full controller support Exploration Open World Survival Craft Crafting 2D Platformer Pixel Graphics Singleplayer Sci-fi Futuristic Rogue-lite Action Survival Adventure Indie Replay Value 2D Platformer Puzzle-Platformer Space Resource Management Space Sim Action Adventure Indie  Windows   Linux   
5904,1644960,NBA 2K22,English French Italian Spanish - Spain Japanese Korean Simplified Chinese Traditional Chinese German,"Sep 9, 2021",True,False,False,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,In-App Purchases,Steam Cloud,Remote Play on Tablet,Remote Play Together","Sports,Basketball,Simulation,Realistic,Multiplayer,e-sports,3D,Singleplayer,Team-Based,Character Customization,Management,Controller,Trading,Deckbuilding,4 Player Local,Co-op,Gambling,Local Co-Op,Local Multiplayer,Online Co-Op","Simulation,Sports", Windows , , ,NBA 2K22 English French Italian Spanish - Spain Japanese Korean Simplified Chinese Traditional Chinese German Single-player Multi-player PvP Online PvP Shared/Split Screen PvP Co-op Online Co-op Shared/Split Screen Co-op Shared/Split Screen Steam Achievements Full controller support In-App Purchases Steam Cloud Remote Play on Tablet Remote Play Together Sports Basketball Simulation Realistic Multiplayer e-sports 3D Singleplayer Team-Based Character Customization Management Controller Trading Deckbuilding 4 Player Local Co-op Gambling Local Co-Op Local Multiplayer Online Co-Op Simulation Sports  Windows     
11229,1000280,Tower of Origin2-Worm's Nest,Simplified Chinese English Traditional Chinese,"Sep 9, 2021",True,False,False,Single-player,"Sexual Content,Mature,Female Protagonist,LGBTQ+,JRPG,CRPG,MOBA,Word Game,Turn-Based Strategy,RPG,2D,Underground,Story Rich,Turn-Based Combat,Multiple Endings,Anime,Drama,Cartoon,Singleplayer,Indie","Indie,RPG", Windows , , ,Tower of Origin2-Worm s Nest Simplified Chinese English Traditional Chinese Single-player Sexual Content Mature Female Protagonist LGBTQ+ JRPG CRPG MOBA Word Game Turn-Based Strategy RPG 2D Underground Story Rich Turn-Based Combat Multiple Endings Anime Drama Cartoon Singleplayer Indie Indie RPG  Windows     
