,AppID,Name,Supported languages,Release date,Windows,Mac,Linux,Categories,Tags,Genres,metadata_win,metadata_linux,metadata_mac,full_metadata
33094,1221650,Boulder Dash Deluxe,English French Italian German Spanish - Spain Japanese Polish Portuguese Russian Simplified Chinese Traditional Chinese,"Sep 8, 2021",True,True,False,"Single-player,Steam Achievements,Full controller support","Casual,Strategy,Puzzle,Hidden Object,Mining,Puzzle-Platformer,2.5D,2D,3D,Cartoon,Cartoony,Colorful,Cute,Comic Book,Family Friendly,Magic,Nature,Singleplayer,Adventure,Retro","Adventure,Casual,Strategy", Windows , , Mac ,Boulder Dash Deluxe English French Italian German Spanish - Spain Japanese Polish Portuguese Russian Simplified Chinese Traditional Chinese Single-player Steam Achievements Full controller support Casual Strategy Puzzle Hidden Object Mining Puzzle-Platformer 2.5D 2D 3D Cartoon Cartoony Colorful Cute Comic Book Family Friendly Magic Nature Singleplayer Adventure Retro Adventure Casual Strategy  Windows     Mac 
8972,1424300,Jester / King,English,"Sep 8, 2021",True,True,True,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Visual Novel,LGBTQ+,Dating Sim,Romance,Multiple Endings,Choices Matter,Simulation,Choose Your Own Adventure,Story Rich,Adventure,Anime,Narration,Interactive Fiction,Drama,Investigation,RPG,Casual,Nonlinear,Dark Fantasy,Singleplayer","Adventure,Casual,RPG,Simulation", Windows , Linux , Mac ,Jester / King English Single-player Steam Achievements Steam Trading Cards Steam Cloud Visual Novel LGBTQ+ Dating Sim Romance Multiple Endings Choices Matter Simulation Choose Your Own Adventure Story Rich Adventure Anime Narration Interactive Fiction Drama Investigation RPG Casual Nonlinear Dark Fantasy Singleplayer Adventure Casual RPG Simulation  Windows   Linux   Mac 
25914,1465070,Legendary Tales,English,"Sep 8, 2021",True,False,False,"Single-player,Multi-player,Co-op,Online Co-op","VR,Online Co-Op,Gore,Swordplay,Action,Medieval,Fantasy,Magic,Adventure,Action RPG,Dark Fantasy,RPG,Combat,Action-Adventure,Souls-like,Dungeon Crawler,PvE,Early Access,Indie,Simulation,VR Only","Action,Adventure,Indie,RPG,Simulation,Early Access", Windows , , ,Legendary Tales English Single-player Multi-player Co-op Online Co-op VR Online Co-Op Gore Swordplay Action Medieval Fantasy Magic Adventure Action RPG Dark Fantasy RPG Combat Action-Adventure Souls-like Dungeon Crawler PvE Early Access Indie Simulation VR Only Action Adventure Indie RPG Simulation Early Access  Windows     
32300,1726050,Neon Depth,English Portuguese - Brazil Portuguese,"Sep 8, 2021",True,False,False,"Single-player,Full controller support","Puzzle-Platformer,Puzzle,Platformer,Soundtrack,Retro,2D Platformer,Logic,Side Scroller,Atmospheric,Colorful,Difficult,Minimalist,Action,2D,Indie,Drama,1990's,Singleplayer,Casual","Action,Casual", Windows , , ,Neon Depth English Portuguese - Brazil Portuguese Single-player Full controller support Puzzle-Platformer Puzzle Platformer Soundtrack Retro 2D Platformer Logic Side Scroller Atmospheric Colorful Difficult Minimalist Action 2D Indie Drama 1990 s Singleplayer Casual Action Casual  Windows     
12006,1248800,The Rule of Land: Pioneers,English Simplified Chinese,"Sep 8, 2020",True,False,False,"Single-player,Steam Achievements,Steam Cloud","Survival,Resource Management,Inventory Management,Crafting,Base-Building,Simulation,Hunting,Building,Singleplayer,Open World Survival Craft,2.5D,Indie,Adventure,Early Access,Post-apocalyptic,RPG,Rogue-like,Sci-fi,Strategy,2D","Indie,RPG,Simulation,Strategy,Early Access", Windows , , ,The Rule of Land: Pioneers English Simplified Chinese Single-player Steam Achievements Steam Cloud Survival Resource Management Inventory Management Crafting Base-Building Simulation Hunting Building Singleplayer Open World Survival Craft 2.5D Indie Adventure Early Access Post-apocalyptic RPG Rogue-like Sci-fi Strategy 2D Indie RPG Simulation Strategy Early Access  Windows     
16817,1304550,Progressbar95,English French Italian German Spanish - Spain Polish Russian Ukrainian Portuguese - Brazil Turkish Japanese Romanian Portuguese,"Sep 8, 2020",True,True,False,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Casual,Arcade,Experimental,Puzzle,Tower Defense,2D,Typing,Funny,Parody,1990's,Abstract,Retro,Cartoony,Cute,Pixel Graphics,Minimalist,Management,Logic,Old School,Life Sim","Casual,Indie", Windows , , Mac ,Progressbar95 English French Italian German Spanish - Spain Polish Russian Ukrainian Portuguese - Brazil Turkish Japanese Romanian Portuguese Single-player Steam Achievements Partial Controller Support Steam Cloud Stats Steam Leaderboards Casual Arcade Experimental Puzzle Tower Defense 2D Typing Funny Parody 1990 s Abstract Retro Cartoony Cute Pixel Graphics Minimalist Management Logic Old School Life Sim Casual Indie  Windows     Mac 
34472,1341440,World Process,Simplified Chinese,"Sep 8, 2020",True,False,False,Single-player,"Casual,Simulation,Card Game,Word Game,Clicker,Time Management,2D,Pixel Graphics,Sci-fi,Strategy,Futuristic,Indie,Management,Relaxing,Multiple Endings,Singleplayer","Casual,Indie,Simulation,Strategy", Windows , , ,World Process Simplified Chinese Single-player Casual Simulation Card Game Word Game Clicker Time Management 2D Pixel Graphics Sci-fi Strategy Futuristic Indie Management Relaxing Multiple Endings Singleplayer Casual Indie Simulation Strategy  Windows     
639,1361020,Living the Nightmare,English,"Sep 8, 2020",True,False,False,"Single-player,Steam Achievements,Steam Cloud","Horror,Traditional Roguelike,Survival Horror,Hack and Slash,Rogue-lite,Dungeon Crawler,Perma Death,Difficult,Open World,Strategy RPG,Turn-Based Strategy,Survival,Rogue-like,RPG,Action RPG,Strategy,2.5D,Isometric,Action,Procedural Generation","Action,Indie,RPG,Strategy", Windows , , ,Living the Nightmare English Single-player Steam Achievements Steam Cloud Horror Traditional Roguelike Survival Horror Hack and Slash Rogue-lite Dungeon Crawler Perma Death Difficult Open World Strategy RPG Turn-Based Strategy Survival Rogue-like RPG Action RPG Strategy 2.5D Isometric Action Procedural Generation Action Indie RPG Strategy  Windows     
29986,1041720,Kingdoms of Amalur: Re-Reckoning,English French Italian German Spanish - Spain Japanese Russian Simplified Chinese,"Sep 8, 2020",True,False,False,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet","RPG,Action,Fantasy,Singleplayer,Action RPG,Open World,Combat,Character Customization,Fighting,Atmospheric,Gore,Hack and Slash,Adventure,Third Person,Story Rich,Loot,Choices Matter,Female Protagonist","Action,RPG", Windows , , ,Kingdoms of Amalur: Re-Reckoning English French Italian German Spanish - Spain Japanese Russian Simplified Chinese Single-player Steam Achievements Full controller support Steam Trading Cards Steam Cloud Remote Play on Tablet RPG Action Fantasy Singleplayer Action RPG Open World Combat Character Customization Fighting Atmospheric Gore Hack and Slash Adventure Third Person Story Rich Loot Choices Matter Female Protagonist Action RPG  Windows     
18678,1334070,Sleep,English Russian,"Sep 8, 2020",True,False,False,Single-player,"Horror,Singleplayer,Action,First-Person,3D,Psychedelic,Experimental,Story Rich,Indie,Cinematic,America,Dark,Psychological Horror,Thriller","Action,Indie", Windows , , ,Sleep English Russian Single-player Horror Singleplayer Action First-Person 3D Psychedelic Experimental Story Rich Indie Cinematic America Dark Psychological Horror Thriller Action Indie  Windows     
6335,1388490,Capital Simulator,English Simplified Chinese Traditional Chinese French German Russian Portuguese,"Sep 8, 2020",True,True,False,Single-player,"Simulation,Strategy,Management,2D Platformer,City Builder,2D,Minimalist,Economy,Transportation,Indie,Capitalism,Logic,Resource Management,Singleplayer","Indie,Simulation,Strategy", Windows , , Mac ,Capital Simulator English Simplified Chinese Traditional Chinese French German Russian Portuguese Single-player Simulation Strategy Management 2D Platformer City Builder 2D Minimalist Economy Transportation Indie Capitalism Logic Resource Management Singleplayer Indie Simulation Strategy  Windows     Mac 
17421,1404190,Chess Brain,English French Italian German Spanish - Spain Arabic Bulgarian Czech Danish Dutch Finnish Greek Hungarian Japanese Korean Norwegian Polish Portuguese Portuguese - Brazil Romanian Russian Simplified Chinese Spanish - Latin America Swedish Thai Traditional Chinese Turkish Ukrainian Vietnamese,"Sep 8, 2020",True,True,True,"Single-player,Steam Achievements","Chess,Puzzle,Strategy,Board Game,Minimalist,Sokoban,Logic,Programming,Grid-Based Movement,Relaxing,Point & Click,Turn-Based Tactics,Turn-Based Strategy,Tabletop,Indie,2.5D,3D,Singleplayer,Top-Down,Casual","Casual,Indie,Strategy", Windows , Linux , Mac ,Chess Brain English French Italian German Spanish - Spain Arabic Bulgarian Czech Danish Dutch Finnish Greek Hungarian Japanese Korean Norwegian Polish Portuguese Portuguese - Brazil Romanian Russian Simplified Chinese Spanish - Latin America Swedish Thai Traditional Chinese Turkish Ukrainian Vietnamese Single-player Steam Achievements Chess Puzzle Strategy Board Game Minimalist Sokoban Logic Programming Grid-Based Movement Relaxing Point & Click Turn-Based Tactics Turn-Based Strategy Tabletop Indie 2.5D 3D Singleplayer Top-Down Casual Casual Indie Strategy  Windows   Linux   Mac 
9497,810040,Swords 'n Magic and Stuff,English,"Sep 8, 2020",True,False,False,"Single-player,Multi-player,Co-op,Online Co-op,Partial Controller Support,Steam Cloud","Singleplayer,Co-op,Early Access,Medieval,Casual,Fantasy,Adventure,RPG,Exploration,Open World,Online Co-Op,Building,Multiplayer,Third Person,Loot,Cute,Story Rich,Sandbox,Action-Adventure,Magic","Adventure,Casual,Indie,RPG,Early Access", Windows , , ,Swords  n Magic and Stuff English Single-player Multi-player Co-op Online Co-op Partial Controller Support Steam Cloud Singleplayer Co-op Early Access Medieval Casual Fantasy Adventure RPG Exploration Open World Online Co-Op Building Multiplayer Third Person Loot Cute Story Rich Sandbox Action-Adventure Magic Adventure Casual Indie RPG Early Access  Windows     
33227,1300390,Sunset Shapes,English French Italian German Spanish - Spain Portuguese Portuguese - Brazil,"Sep 8, 2020",True,False,True,Single-player,"3D Platformer,Puzzle-Platformer,Hidden Object,Hand-drawn,LEGO,3D,2D,Minimalist,Pixel Graphics,Family Friendly,Colorful,Casual,Cute,Relaxing,Physics,Puzzle,Singleplayer,Logic,Atmospheric,Funny","Casual,Indie", Windows , Linux , ,Sunset Shapes English French Italian German Spanish - Spain Portuguese Portuguese - Brazil Single-player 3D Platformer Puzzle-Platformer Hidden Object Hand-drawn LEGO 3D 2D Minimalist Pixel Graphics Family Friendly Colorful Casual Cute Relaxing Physics Puzzle Singleplayer Logic Atmospheric Funny Casual Indie  Windows   Linux   
570,651670,Star Renegades,English French German Spanish - Spain Russian Simplified Chinese Korean Polish Portuguese - Brazil Japanese,"Sep 8, 2020",True,False,False,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Rogue-like,Pixel Graphics,Turn-Based,Singleplayer,JRPG,Rogue-lite,Tactical RPG,Mechs,RPG,Strategy RPG,Indie,Conversation,2.5D,Turn-Based Combat,Procedural Generation,Sci-fi,Futuristic,Strategy,Retro,Tactical","Action,Indie,RPG,Simulation,Strategy", Windows , , ,Star Renegades English French German Spanish - Spain Russian Simplified Chinese Korean Polish Portuguese - Brazil Japanese Single-player Steam Achievements Full controller support Steam Trading Cards Steam Cloud Rogue-like Pixel Graphics Turn-Based Singleplayer JRPG Rogue-lite Tactical RPG Mechs RPG Strategy RPG Indie Conversation 2.5D Turn-Based Combat Procedural Generation Sci-fi Futuristic Strategy Retro Tactical Action Indie RPG Simulation Strategy  Windows     
25643,1127170,DreamFly,English French Italian German Spanish - Spain Arabic Bulgarian Czech Danish Dutch Finnish Greek Hungarian Japanese Korean Norwegian Polish Portuguese Portuguese - Brazil Romanian Russian Simplified Chinese Spanish - Latin America Swedish Thai Traditional Chinese Turkish Ukrainian Vietnamese,"Sep 8, 2020",True,False,False,Single-player,"Indie,Sandbox,VR,Flight,Experimental,Simulation,Exploration,Choose Your Own Adventure,3D,Singleplayer,Controller,Adventure,Horror,FPS,Early Access","Adventure,Indie", Windows , , ,DreamFly English French Italian German Spanish - Spain Arabic Bulgarian Czech Danish Dutch Finnish Greek Hungarian Japanese Korean Norwegian Polish Portuguese Portuguese - Brazil Romanian Russian Simplified Chinese Spanish - Latin America Swedish Thai Traditional Chinese Turkish Ukrainian Vietnamese Single-player Indie Sandbox VR Flight Experimental Simulation Exploration Choose Your Own Adventure 3D Singleplayer Controller Adventure Horror FPS Early Access Adventure Indie  Windows     
22484,1355880,SpermDash精疲力尽,English Simplified Chinese,"Sep 8, 2020",True,False,False,"Single-player,Steam Achievements","Casual,Parkour,LGBTQ+,Point & Click,Rhythm,Relaxing,Racing,Cartoon,Music-Based Procedural Generation,Procedural Generation,Character Customization,Runner,3D Platformer,3D,Anime,Cartoony,Cute,Singleplayer,Third Person,Top-Down","Action,Casual,Racing,Sports", Windows , , ,SpermDash精疲力尽 English Simplified Chinese Single-player Steam Achievements Casual Parkour LGBTQ+ Point & Click Rhythm Relaxing Racing Cartoon Music-Based Procedural Generation Procedural Generation Character Customization Runner 3D Platformer 3D Anime Cartoony Cute Singleplayer Third Person Top-Down Action Casual Racing Sports  Windows     
28774,1004750,WRC 8 FIA World Rally Championship,English French Italian German Spanish - Spain Japanese Korean Polish Russian Simplified Chinese Traditional Chinese Portuguese - Brazil,"Sep 8, 2020",True,False,False,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together","Singleplayer,Score Attack,Racing,Sports,Driving,Automobile Sim,Physics,Time Management,Management,PvP,Competitive,e-sports,3D,First-Person,Colorful,Open World,Third Person,Simulation,Realistic,Offroad","Racing,Simulation,Sports", Windows , , ,WRC 8 FIA World Rally Championship English French Italian German Spanish - Spain Japanese Korean Polish Russian Simplified Chinese Traditional Chinese Portuguese - Brazil Single-player Multi-player PvP Online PvP Shared/Split Screen PvP Shared/Split Screen Steam Achievements Full controller support Steam Cloud Remote Play Together Singleplayer Score Attack Racing Sports Driving Automobile Sim Physics Time Management Management PvP Competitive e-sports 3D First-Person Colorful Open World Third Person Simulation Realistic Offroad Racing Simulation Sports  Windows     
27390,645650,Chickens Madness,English,"Sep 8, 2020",True,False,False,"Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together","Local Multiplayer,Comedy,Indie,Family Friendly,Cute,Action,Multiplayer,4 Player Local,Casual,Early Access,Funny,Racing,Arcade,Board Game,Shooter,4X,Combat Racing,Wargame,Cartoony,Colorful","Action,Casual,Indie", Windows , , ,Chickens Madness English Multi-player PvP Shared/Split Screen PvP Co-op Shared/Split Screen Co-op Shared/Split Screen Steam Achievements Partial Controller Support Steam Cloud Remote Play Together Local Multiplayer Comedy Indie Family Friendly Cute Action Multiplayer 4 Player Local Casual Early Access Funny Racing Arcade Board Game Shooter 4X Combat Racing Wargame Cartoony Colorful Action Casual Indie  Windows     
3209,1382730,Midnight Scenes Episode 2 (Special Edition),English French Italian German Spanish - Spain Japanese Russian Simplified Chinese,"Sep 8, 2020",True,True,False,Single-player,"Adventure,Exploration,Point & Click,2D,Pixel Graphics,Cinematic,Atmospheric,Horror,Aliens,Drama,Cute,Emotional,Lovecraftian,Psychological Horror,Retro,Sci-fi,Science,Story Rich,Supernatural,Thriller","Adventure,Indie", Windows , , Mac ,Midnight Scenes Episode 2 (Special Edition) English French Italian German Spanish - Spain Japanese Russian Simplified Chinese Single-player Adventure Exploration Point & Click 2D Pixel Graphics Cinematic Atmospheric Horror Aliens Drama Cute Emotional Lovecraftian Psychological Horror Retro Sci-fi Science Story Rich Supernatural Thriller Adventure Indie  Windows     Mac 
16209,872630,Project VR Wild Hunt,English,"Sep 8, 2019",True,False,False,Single-player,"Action,Simulation,Violent,VR","Action,Simulation", Windows , , ,Project VR Wild Hunt English Single-player Action Simulation Violent VR Action Simulation  Windows     
13126,1142180,SE VR World Demo,English,"Sep 8, 2019",True,False,False,Single-player,"Action,Indie,Simulation,Early Access,VR","Action,Indie,Simulation,Early Access", Windows , , ,SE VR World Demo English Single-player Action Indie Simulation Early Access VR Action Indie Simulation Early Access  Windows     
2794,887550,Dimetrosaur,English,"Sep 8, 2018",True,False,False,Single-player,"Indie,Dinosaurs",Indie, Windows , , ,Dimetrosaur English Single-player Indie Dinosaurs Indie  Windows     
33803,930480,Mushroom rain,English,"Sep 8, 2018",True,False,False,"Single-player,Steam Achievements","Indie,Casual,Clicker,Music,Relaxing,Fast-Paced,Atmospheric,Singleplayer,Top-Down,Voxel,Minimalist","Casual,Indie", Windows , , ,Mushroom rain English Single-player Steam Achievements Indie Casual Clicker Music Relaxing Fast-Paced Atmospheric Singleplayer Top-Down Voxel Minimalist Casual Indie  Windows     
34786,869870,She is Mermaid,Simplified Chinese Traditional Chinese English,"Sep 8, 2018",True,False,False,"Single-player,Steam Achievements,Steam Cloud","Indie,Adventure,Visual Novel,Anime","Adventure,Indie", Windows , , ,She is Mermaid Simplified Chinese Traditional Chinese English Single-player Steam Achievements Steam Cloud Indie Adventure Visual Novel Anime Adventure Indie  Windows     
6522,931360,Land of Puzzles: Battles,English,"Sep 8, 2018",True,False,False,"Single-player,Steam Achievements","Indie,Casual,Puzzle,2D,Strategy,Relaxing,Singleplayer,Replay Value,Family Friendly,Logic,Choices Matter,Point & Click","Casual,Indie", Windows , , ,Land of Puzzles: Battles English Single-player Steam Achievements Indie Casual Puzzle 2D Strategy Relaxing Singleplayer Replay Value Family Friendly Logic Choices Matter Point & Click Casual Indie  Windows     
21288,703940,Ball 2D: Soccer Online,English,"Sep 8, 2017",True,True,False,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer","Multiplayer,Soccer,Competitive,Sports,2D,Team-Based,Online Co-Op,Football,Fast-Paced,Co-op,Action,Funny,e-sports,PvP,Free to Play,Gaming,Simulation,Difficult,Casual,Indie","Action,Casual,Free to Play,Indie,Massively Multiplayer,Simulation,Sports", Windows , , Mac ,Ball 2D: Soccer Online English Multi-player PvP Online PvP Co-op Online Co-op Cross-Platform Multiplayer Multiplayer Soccer Competitive Sports 2D Team-Based Online Co-Op Football Fast-Paced Co-op Action Funny e-sports PvP Free to Play Gaming Simulation Difficult Casual Indie Action Casual Free to Play Indie Massively Multiplayer Simulation Sports  Windows     Mac 
9758,550590,Archaica: The Path of Light,English Polish Simplified Chinese Russian Ukrainian French Czech Spanish - Spain,"Sep 8, 2017",True,False,False,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Casual,Puzzle,Adventure,Atmospheric,Singleplayer,Relaxing,Mystery,Fantasy,Colorful,Sci-fi,Top-Down,Family Friendly,Difficult,Hidden Object,Retro,Classic,Education,Remake,Story Rich","Adventure,Casual,Indie", Windows , , ,Archaica: The Path of Light English Polish Simplified Chinese Russian Ukrainian French Czech Spanish - Spain Single-player Steam Achievements Steam Trading Cards Steam Cloud Indie Casual Puzzle Adventure Atmospheric Singleplayer Relaxing Mystery Fantasy Colorful Sci-fi Top-Down Family Friendly Difficult Hidden Object Retro Classic Education Remake Story Rich Adventure Casual Indie  Windows     
18502,565390,Hyperun,English French German Spanish - Spain Japanese Korean Portuguese - Brazil Russian Simplified Chinese,"Sep 8, 2017",True,True,False,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Sports,Racing,Arcade,Colorful,Singleplayer,Controller,Third Person,Anime,Bikes,Family Friendly,Procedural Generation,Cyberpunk,Futuristic,Motorbike,Survival,Score Attack,Driving,Stylized,Short,Retro","Indie,Racing,Sports", Windows , , Mac ,Hyperun English French German Spanish - Spain Japanese Korean Portuguese - Brazil Russian Simplified Chinese Single-player Steam Achievements Steam Trading Cards Partial Controller Support Steam Cloud Stats Steam Leaderboards Sports Racing Arcade Colorful Singleplayer Controller Third Person Anime Bikes Family Friendly Procedural Generation Cyberpunk Futuristic Motorbike Survival Score Attack Driving Stylized Short Retro Indie Racing Sports  Windows     Mac 
21305,696500,Soldiers Of Freedom,English,"Sep 8, 2017",True,False,False,Single-player,"Action,Indie,VR,Tactical,Military,FPS,Shooter,First-Person,Simulation,Strategy,Singleplayer,Difficult,Exploration,Great Soundtrack,Psychological Horror,War,Violent,Arena Shooter,Mature,Adventure","Action,Indie", Windows , , ,Soldiers Of Freedom English Single-player Action Indie VR Tactical Military FPS Shooter First-Person Simulation Strategy Singleplayer Difficult Exploration Great Soundtrack Psychological Horror War Violent Arena Shooter Mature Adventure Action Indie  Windows     
15220,695760,Girls and Dungeons,English Simplified Chinese,"Sep 8, 2017",True,False,False,Single-player,"Anime,Sexual Content,Nudity,Mature,NSFW,Comedy,JRPG,Pixel Graphics,Dungeon Crawler,Party-Based RPG,Action-Adventure,Character Customization,RPG,2D,Psychological Horror,Adventure,Retro,Memes,Singleplayer,Great Soundtrack","Adventure,RPG", Windows , , ,Girls and Dungeons English Simplified Chinese Single-player Anime Sexual Content Nudity Mature NSFW Comedy JRPG Pixel Graphics Dungeon Crawler Party-Based RPG Action-Adventure Character Customization RPG 2D Psychological Horror Adventure Retro Memes Singleplayer Great Soundtrack Adventure RPG  Windows     
2713,542400,Pixel Gladiator,English Russian Simplified Chinese Ukrainian French Italian Spanish - Spain German,"Sep 8, 2017",True,False,False,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie,Pixel Graphics,Tower Defense,2D,Platformer,Singleplayer,Difficult,Survival,Dark,Side Scroller,Sci-fi,Replay Value,Atmospheric,Great Soundtrack,Early Access,Cyberpunk,Gore,Procedural Generation,Fast-Paced","Action,Indie", Windows , , ,Pixel Gladiator English Russian Simplified Chinese Ukrainian French Italian Spanish - Spain German Single-player Steam Achievements Steam Trading Cards Steam Cloud Steam Leaderboards Action Indie Pixel Graphics Tower Defense 2D Platformer Singleplayer Difficult Survival Dark Side Scroller Sci-fi Replay Value Atmospheric Great Soundtrack Early Access Cyberpunk Gore Procedural Generation Fast-Paced Action Indie  Windows     
5823,699820,Mustdashe,English,"Sep 8, 2017",True,False,False,"Single-player,Steam Achievements","Action,Indie,Early Access","Action,Indie,Early Access", Windows , , ,Mustdashe English Single-player Steam Achievements Action Indie Early Access Action Indie Early Access  Windows     
17885,703530,Grav Blazer Squared,English,"Sep 8, 2017",True,False,False,"Single-player,Steam Achievements","Bullet Hell,Shoot 'Em Up,Shooter,Arcade,2D,Procedural Generation,Action,Casual,Colorful,Sci-fi,Space,1980s,Aliens,Retro,Singleplayer,Fast-Paced,Indie,Top-Down Shooter,Adventure","Action,Casual,Indie", Windows , , ,Grav Blazer Squared English Single-player Steam Achievements Bullet Hell Shoot  Em Up Shooter Arcade 2D Procedural Generation Action Casual Colorful Sci-fi Space 1980s Aliens Retro Singleplayer Fast-Paced Indie Top-Down Shooter Adventure Action Casual Indie  Windows     
14348,643870,Kitten Adventures in City Park,English Russian Japanese Portuguese - Brazil Polish Romanian,"Sep 8, 2017",True,True,True,"Single-player,Steam Achievements","Cute,Indie,Adventure,Family Friendly,Singleplayer,Short,Free to Play,Atmospheric,Exploration,Funny,Point & Click,Comedy,Cats,Colorful,Cartoon,Retro,2D,Casual,Hand-drawn","Adventure,Indie", Windows , Linux , Mac ,Kitten Adventures in City Park English Russian Japanese Portuguese - Brazil Polish Romanian Single-player Steam Achievements Cute Indie Adventure Family Friendly Singleplayer Short Free to Play Atmospheric Exploration Funny Point & Click Comedy Cats Colorful Cartoon Retro 2D Casual Hand-drawn Adventure Indie  Windows   Linux   Mac 
17261,703090,冒险之路(Adventure Road),English Simplified Chinese,"Sep 8, 2017",True,False,False,"Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,In-App Purchases","Free to Play,Indie,Strategy,Massively Multiplayer","Free to Play,Indie,Massively Multiplayer,Strategy", Windows , , ,冒险之路(Adventure Road) English Simplified Chinese Multi-player PvP Online PvP Cross-Platform Multiplayer In-App Purchases Free to Play Indie Strategy Massively Multiplayer Free to Play Indie Massively Multiplayer Strategy  Windows     
22940,701720,2D Neon Cube,English French Italian German Spanish - Spain Arabic Bulgarian Portuguese - Brazil Hungarian Greek Danish Traditional Chinese Simplified Chinese Korean Dutch Norwegian Polish Portuguese Romanian Russian Thai Turkish Ukrainian Finnish Czech Swedish Japanese,"Sep 8, 2017",True,False,False,"Single-player,Steam Achievements","Side Scroller,Puzzle-Platformer,2D Platformer,Difficult,Casual,Platformer,Space Sim,2D,Survival,Relaxing,Action,Puzzle,Pixel Graphics,Stylized,Atmospheric,Retro,Singleplayer,Indie,NSFW","Action,Indie", Windows , , ,2D Neon Cube English French Italian German Spanish - Spain Arabic Bulgarian Portuguese - Brazil Hungarian Greek Danish Traditional Chinese Simplified Chinese Korean Dutch Norwegian Polish Portuguese Romanian Russian Thai Turkish Ukrainian Finnish Czech Swedish Japanese Single-player Steam Achievements Side Scroller Puzzle-Platformer 2D Platformer Difficult Casual Platformer Space Sim 2D Survival Relaxing Action Puzzle Pixel Graphics Stylized Atmospheric Retro Singleplayer Indie NSFW Action Indie  Windows     
32844,640990,Fashioning Little Miss Lonesome,English,"Sep 8, 2017",True,False,False,"Single-player,Steam Achievements,Steam Trading Cards","Otome,Sexual Content,Female Protagonist,Visual Novel,Adventure,Anime,Singleplayer,Romance,Memes,Comedy,Nudity",Adventure, Windows , , ,Fashioning Little Miss Lonesome English Single-player Steam Achievements Steam Trading Cards Otome Sexual Content Female Protagonist Visual Novel Adventure Anime Singleplayer Romance Memes Comedy Nudity Adventure  Windows     
12313,385410,The Journey: Bob's Story,English Spanish - Spain,"Sep 8, 2017",True,False,False,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Adventure,Indie,Casual,Platformer,Puzzle-Platformer,Atmospheric,2D,Relaxing","Adventure,Casual,Indie", Windows , , ,The Journey: Bob s Story English Spanish - Spain Single-player Steam Achievements Steam Trading Cards Partial Controller Support Adventure Indie Casual Platformer Puzzle-Platformer Atmospheric 2D Relaxing Adventure Casual Indie  Windows     
2665,696560,Bouncing Duck Simulator,English,"Sep 8, 2017",True,False,False,"Single-player,Steam Achievements,Partial Controller Support,Stats","Casual,Action,Indie,Simulation","Action,Casual,Indie,Simulation", Windows , , ,Bouncing Duck Simulator English Single-player Steam Achievements Partial Controller Support Stats Casual Action Indie Simulation Action Casual Indie Simulation  Windows     
23020,689000,Vulture,English,"Sep 8, 2017",True,True,True,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together","Action,Indie,Shoot 'Em Up,Arcade,Top-Down Shooter,Building","Action,Indie", Windows , Linux , Mac ,Vulture English Single-player Multi-player PvP Shared/Split Screen PvP Co-op Shared/Split Screen Co-op Shared/Split Screen Steam Achievements Partial Controller Support Steam Cloud Remote Play Together Action Indie Shoot  Em Up Arcade Top-Down Shooter Building Action Indie  Windows   Linux   Mac 
34,433450,INFERNO CLIMBER,English Japanese Simplified Chinese Korean,"Sep 8, 2016",True,False,False,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","RPG,Action,Dark Fantasy,Souls-like,Atmospheric,Singleplayer,Cute,Difficult,Survival","Action,RPG", Windows , , ,INFERNO CLIMBER English Japanese Simplified Chinese Korean Single-player Steam Achievements Full controller support Steam Trading Cards Steam Cloud RPG Action Dark Fantasy Souls-like Atmospheric Singleplayer Cute Difficult Survival Action RPG  Windows     
14579,497700,Safety First!,English,"Sep 8, 2016",True,False,False,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards","Indie,Casual,Simulation,Sports,Nudity,Puzzle,Difficult","Casual,Indie,Simulation,Sports", Windows , , ,Safety First! English Single-player Steam Achievements Full controller support Steam Trading Cards Steam Leaderboards Indie Casual Simulation Sports Nudity Puzzle Difficult Casual Indie Simulation Sports  Windows     
